,location,name,nid,rank,rank_order,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,scores_overall,scores_research,scores_research_rank,scores_teaching,scores_teaching_rank,subjects_offered,url
90,Finland,University of Helsinki,555,91,91,75.1,109,28.9,308,46.8,220,54.8,54.2,75,39.3,152,"Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Veterinary Science,Sociology,Mathematics & Statistics,Education,Computer Science,Archaeology,History, Philosophy & Theology,Other Health,Economics & Econometrics,Geography,Agriculture & Forestry,Medicine & Dentistry,Chemistry,Business & Management,Law,Psychology,Communication & Media Studies,Biological Sciences",/world-university-rankings/university-helsinki
91,Netherlands,University of Amsterdam,556,92,92,68.3,137,42.5,144,56.4,168,54.7,54.7,70,41.7,135,"Mathematics & Statistics,Psychology,Economics & Econometrics,Business & Management,Geography,Accounting & Finance,Chemistry,Biological Sciences,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Law,Languages, Literature & Linguistics,Archaeology,Other Health,History, Philosophy & Theology,Computer Science,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Physics & Astronomy,Communication & Media Studies,Sociology,Education",/world-university-rankings/university-amsterdam
92,United States,Case Western Reserve University,557,93,93,78.4,93,-,371,29.9,305,54.6,40.2,129,54.2,70,"Chemistry,Medicine & Dentistry,Computer Science,Economics & Econometrics,Mathematics & Statistics,Business & Management,Physics & Astronomy,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Civil Engineering,Law,Chemical Engineering,Education,Electrical & Electronic Engineering,Psychology,Other Health,Sociology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Languages, Literature & Linguistics,Accounting & Finance",/world-university-rankings/case-western-reserve-university
93,South Korea,Korea Advanced Institute of Science and Technology (KAIST),558,94,94,47.1,252,100.0,5,29.3,310,54.5,54.6,71,64.2,43,"Chemical Engineering,Computer Science,Physics & Astronomy,Mechanical & Aerospace Engineering,Business & Management,General Engineering,Chemistry,Civil Engineering,Biological Sciences,Accounting & Finance,Mathematics & Statistics,Electrical & Electronic Engineering",/world-university-rankings/korea-advanced-institute-science-and-technology-kaist
94,United States,"University of Maryland, College Park",559,94,95,85.8,66,28.5,313,35.3,273,54.5,43.6,113,41.1,139,"Other Health,Geology, Environmental, Earth & Marine Sciences,Sport Science,Biological Sciences,General Engineering,Physics & Astronomy,Psychology,Chemistry,Civil Engineering,Mathematics & Statistics,Geography,Computer Science,Sociology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Law,Business & Management,Languages, Literature & Linguistics,History, Philosophy & Theology,Education,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Accounting & Finance,Communication & Media Studies,Veterinary Science,Agriculture & Forestry,Architecture,Chemical Engineering,Electrical & Electronic Engineering",/world-university-rankings/university-maryland-college-park
95,United States,Michigan State University,560,96,96,73.6,112,28.0,318,34.0,279,54.4,49.6,88,47.4,98,"Psychology,Medicine & Dentistry,Physics & Astronomy,Other Health,Chemistry,Biological Sciences,General Engineering,Sport Science,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Economics & Econometrics,Geography,Civil Engineering,Computer Science,Sociology,Mathematics & Statistics,Law,Business & Management,Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology,Education,Archaeology,Veterinary Science,Agriculture & Forestry,Communication & Media Studies,Accounting & Finance,Architecture,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Chemical Engineering",/world-university-rankings/michigan-state-university
96,United States,University of Arizona,561,97,97,78.3,95,86.0,37,28.4,314,54.2,43.0,114,45.1,112,"Chemistry,Chemical Engineering,Law,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Computer Science,Sociology,Psychology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Other Health,Geography,Physics & Astronomy,Electrical & Electronic Engineering,Mathematics & Statistics,Biological Sciences,Communication & Media Studies,Accounting & Finance,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,History, Philosophy & Theology,Education,Art, Performing Arts & Design,Veterinary Science,Architecture,Agriculture & Forestry,Business & Management,General Engineering",/world-university-rankings/university-arizona
97,United States,Purdue University,562,98,98,57.8,184,-,385,52.6,186,54.0,49.4,89,56.6,62,"Other Health,Communication & Media Studies,Biological Sciences,General Engineering,Chemistry,Sport Science,Geology, Environmental, Earth & Marine Sciences,Psychology,Physics & Astronomy,Geography,Mathematics & Statistics,Civil Engineering,Computer Science,Sociology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Law,Languages, Literature & Linguistics,Business & Management,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Art, Performing Arts & Design,Veterinary Science,Education,Accounting & Finance,Agriculture & Forestry,Architecture,Electrical & Electronic Engineering,Archaeology,Chemical Engineering",/world-university-rankings/purdue-university
98,United Kingdom,University of Sussex,563,99,99,92.0,42,28.1,317,79.8,61,53.9,34.8,169,30.6,226,"Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Psychology,Medicine & Dentistry,Accounting & Finance,Mechanical & Aerospace Engineering,Economics & Econometrics,Computer Science,Sociology,Business & Management,Languages, Literature & Linguistics,Biological Sciences,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,History, Philosophy & Theology,Law,Mathematics & Statistics,Education,Other Health,Physics & Astronomy,General Engineering,Chemistry,Geography",/world-university-rankings/university-sussex
99,Canada,University of Alberta,564,100,100,51.7,223,53.7,100,71.9,93,53.7,54.4,73,50.6,84,"Chemical Engineering,Physics & Astronomy,Business & Management,Economics & Econometrics,Agriculture & Forestry,Biological Sciences,General Engineering,Psychology,Sport Science,Politics & International Studies (incl Development Studies),Other Health,Geography,Electrical & Electronic Engineering,History, Philosophy & Theology,Mathematics & Statistics,Education,Sociology,Civil Engineering,Medicine & Dentistry,Law,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Chemistry,Computer Science,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Accounting & Finance,Art, Performing Arts & Design,Archaeology",/world-university-rankings/university-alberta
100,United Kingdom,University of Sheffield,565,101,101,67.5,142,40.2,173,68.2,111,53.6,46.0,102,44.6,115,"Physics & Astronomy,Mathematics & Statistics,Electrical & Electronic Engineering,General Engineering,Biological Sciences,Medicine & Dentistry,Architecture,Computer Science,Geography,Other Health,Business & Management,Politics & International Studies (incl Development Studies),Archaeology,Education,Civil Engineering,Chemical Engineering,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Chemistry,Psychology,Sociology,Law,Languages, Literature & Linguistics,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Accounting & Finance,Art, Performing Arts & Design",/world-university-rankings/university-sheffield
101,United Kingdom,University of Glasgow,566,102,102,77.5,99,61.4,85,68.1,112,53.4,41.0,123,37.5,165,"Chemistry,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Sport Science,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Electrical & Electronic Engineering,Other Health,Art, Performing Arts & Design,General Engineering,Medicine & Dentistry,Computer Science,Civil Engineering,Veterinary Science,Geography,Psychology,Languages, Literature & Linguistics,Communication & Media Studies,Archaeology,Physics & Astronomy,Education,Mechanical & Aerospace Engineering,Law,Sociology,Accounting & Finance,History, Philosophy & Theology,Business & Management,Economics & Econometrics",/world-university-rankings/university-glasgow
102,South Africa,University of Cape Town,567,103,103,75.3,106,97.5,24,73.9,82,53.2,41.1,122,34.3,194,"Law,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Languages, Literature & Linguistics,Accounting & Finance,Computer Science,Archaeology,Medicine & Dentistry,Other Health,History, Philosophy & Theology,Sociology,Education,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Chemistry,Electrical & Electronic Engineering,Architecture,Psychology,Physics & Astronomy,Chemical Engineering,Geography,General Engineering",/world-university-rankings/university-cape-town
103,Netherlands,Delft University of Technology,568,104,104,31.2,338,100.0,1,71.3,95,53.1,66.1,44,53.5,72,"Chemistry,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Computer Science,Geography,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Electrical & Electronic Engineering,General Engineering,Physics & Astronomy,Other Health,Mathematics & Statistics,Biological Sciences,Civil Engineering,Business & Management,Architecture,Sport Science,Education",/world-university-rankings/delft-university-technology
104,Canada,University of Montreal,569,104,105,48.7,243,81.3,42,79.5,62,53.1,47.0,100,54.5,68,"Architecture,Other Health,Mechanical & Aerospace Engineering,Geography,General Engineering,Biological Sciences,Chemical Engineering,Mathematics & Statistics,Veterinary Science,Psychology,Electrical & Electronic Engineering,Sociology,Sport Science,Physics & Astronomy,Accounting & Finance,Chemistry,Civil Engineering,Economics & Econometrics,Medicine & Dentistry,Law,Computer Science,Business & Management,Art, Performing Arts & Design,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Communication & Media Studies,Archaeology,Education",/world-university-rankings/university-montreal
105,Belgium,Ghent University,570,106,106,63.4,158,97.8,22,47.3,214,53.0,52.2,81,41.1,138,"Mathematics & Statistics,Law,Civil Engineering,Archaeology,Physics & Astronomy,Agriculture & Forestry,General Engineering,Other Health,Geography,Medicine & Dentistry,Chemistry,Veterinary Science,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Education,Mechanical & Aerospace Engineering,Communication & Media Studies,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Computer Science,Sociology,History, Philosophy & Theology,Accounting & Finance,Business & Management,Sport Science,Economics & Econometrics,Chemical Engineering,Electrical & Electronic Engineering,Psychology,Biological Sciences",/world-university-rankings/ghent-university
106,United Kingdom,"Royal Holloway, University of London",571,107,107,98.2,12,25.9,348,93.3,6,52.9,24.1,250,28.6,250,"Sociology,Art, Performing Arts & Design,Accounting & Finance,Law,Electrical & Electronic Engineering,Economics & Econometrics,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Biological Sciences,Mathematics & Statistics,Geography,Computer Science,Physics & Astronomy,Business & Management,History, Philosophy & Theology,Psychology,Geology, Environmental, Earth & Marine Sciences",/world-university-rankings/royal-holloway-university-london
107,Japan,Tokyo Institute of Technology,572,108,108,49.5,239,66.3,68,24.9,346,52.8,58.9,58,56.0,65,"Biological Sciences,Computer Science,Chemical Engineering,Chemistry,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,General Engineering,Business & Management,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Civil Engineering,Physics & Astronomy,Architecture",/world-university-rankings/tokyo-institute-technology
108,Germany,Humboldt University of Berlin,573,109,109,50.1,236,-,379,64.5,133,52.6,54.5,72,51.3,82,"Law,Archaeology,Art, Performing Arts & Design,Psychology,Chemistry,Mathematics & Statistics,Geography,Biological Sciences,Computer Science,Sport Science,Physics & Astronomy,Education,Medicine & Dentistry,History, Philosophy & Theology,Agriculture & Forestry,Business & Management,Economics & Econometrics,Sociology",/world-university-rankings/humboldt-university-berlin
109,United States,"University of California, Santa Cruz",574,110,110,99.9,6,29.5,299,29.8,307,52.5,36.6,155,28.5,252,"Communication & Media Studies,Psychology,Agriculture & Forestry,Computer Science,Physics & Astronomy,Other Health,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Mathematics & Statistics,Chemistry,Politics & International Studies (incl Development Studies),Law,Sociology,Economics & Econometrics,Business & Management,Art, Performing Arts & Design,Languages, Literature & Linguistics,History, Philosophy & Theology,Education,Electrical & Electronic Engineering,Chemical Engineering",/world-university-rankings/university-california-santa-cruz
110,Switzerland,University of Basel,575,111,111,86.0,65,48.6,119,92.4,10,52.2,21.9,272,38.9,153,"Archaeology,Education,Accounting & Finance,Communication & Media Studies,History, Philosophy & Theology,Languages, Literature & Linguistics,Business & Management,Medicine & Dentistry,Art, Performing Arts & Design,Geography,Sport Science,Psychology,Biological Sciences,Sociology,Mathematics & Statistics,Law,Computer Science,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Economics & Econometrics,Physics & Astronomy,Other Health,Chemistry",/world-university-rankings/university-basel
111,Switzerland,University of Bern,576,112,112,73.5,115,38.2,187,77.6,68,52.1,34.6,171,43.0,125,"Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Chemistry,Biological Sciences,Physics & Astronomy,Communication & Media Studies,Psychology,Politics & International Studies (incl Development Studies),Mathematics & Statistics,History, Philosophy & Theology,Other Health,Geography,Computer Science,Law,Languages, Literature & Linguistics,Business & Management,Veterinary Science,Sport Science,Sociology,Art, Performing Arts & Design,Education,Economics & Econometrics,Archaeology",/world-university-rankings/university-bern
112,United States,University of Utah,577,113,113,82.3,81,-,398,23.3,358,51.9,41.0,124,42.1,133,"History, Philosophy & Theology,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Accounting & Finance,Education,Architecture,Communication & Media Studies,Archaeology,Medicine & Dentistry,Chemical Engineering,Other Health,Physics & Astronomy,Biological Sciences,Sport Science,Chemistry,General Engineering,Psychology,Geology, Environmental, Earth & Marine Sciences,Geography,Mathematics & Statistics,Computer Science,Economics & Econometrics,Sociology,Politics & International Studies (incl Development Studies),Law,Civil Engineering,Business & Management,Languages, Literature & Linguistics",/world-university-rankings/university-utah
113,United States,Stony Brook University,578,114,114,88.3,58,29.2,302,56.5,167,51.4,28.7,216,37.7,163,"Politics & International Studies (incl Development Studies),Accounting & Finance,Chemical Engineering,Medicine & Dentistry,Archaeology,Electrical & Electronic Engineering,Business & Management,Art, Performing Arts & Design,Languages, Literature & Linguistics,Education,Sociology,Psychology,Biological Sciences,General Engineering,Other Health,Geology, Environmental, Earth & Marine Sciences,Chemistry,Geography,Physics & Astronomy,Mathematics & Statistics,History, Philosophy & Theology,Economics & Econometrics,Mechanical & Aerospace Engineering,Civil Engineering,Computer Science,Communication & Media Studies",/world-university-rankings/stony-brook-university
114,Netherlands,Eindhoven University of Technology,579,115,115,62.1,167,100.0,3,67.3,116,51.3,48.0,95,35.6,184,"Computer Science,Other Health,Business & Management,Chemical Engineering,General Engineering,Electrical & Electronic Engineering,Art, Performing Arts & Design,Architecture,Civil Engineering,Chemistry,Physics & Astronomy,Mechanical & Aerospace Engineering,Education,Mathematics & Statistics,Psychology",/world-university-rankings/eindhoven-university-technology
115,Switzerland,University of Lausanne,580,116,116,77.8,97,40.3,172,86.7,32,51.2,40.4,127,27.5,266,"Accounting & Finance,Sport Science,Computer Science,Economics & Econometrics,Sociology,Geography,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Archaeology,Languages, Literature & Linguistics,History, Philosophy & Theology,Business & Management,Other Health,Psychology,Law,Politics & International Studies (incl Development Studies)",/world-university-rankings/university-lausanne
116,Australia,Monash University,581,117,117,57.1,190,62.2,80,75.8,77,51.1,48.5,94,40.5,143,"Computer Science,Communication & Media Studies,Medicine & Dentistry,History, Philosophy & Theology,Languages, Literature & Linguistics,Psychology,Chemistry,Architecture,Accounting & Finance,Archaeology,General Engineering,Other Health,Mathematics & Statistics,Chemical Engineering,Electrical & Electronic Engineering,Education,Sociology,Mechanical & Aerospace Engineering,Law,Art, Performing Arts & Design,Civil Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Physics & Astronomy,Business & Management,Politics & International Studies (incl Development Studies),Geography",/world-university-rankings/monash-university
117,Ireland,Trinity College Dublin,582,117,118,91.7,44,29.7,295,89.4,22,51.1,23.5,256,30.3,230,"Physics & Astronomy,Other Health,Chemistry,General Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Geography,Mathematics & Statistics,Civil Engineering,Computer Science,Economics & Econometrics,Sociology,Law,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Business & Management,History, Philosophy & Theology,Education,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Accounting & Finance,Electrical & Electronic Engineering,Medicine & Dentistry,Psychology",/world-university-rankings/trinity-college-dublin
118,Japan,Osaka University,583,119,119,40.0,291,75.0,55,21.1,370,51.0,56.5,65,61.8,51,"Accounting & Finance,Other Health,Chemical Engineering,Law,Sociology,Biological Sciences,Archaeology,Languages, Literature & Linguistics,Economics & Econometrics,Mathematics & Statistics,Communication & Media Studies,Physics & Astronomy,General Engineering,Education,Politics & International Studies (incl Development Studies),Chemistry,Sport Science,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Geography,Medicine & Dentistry,Business & Management,Architecture,Civil Engineering,Psychology,History, Philosophy & Theology,Art, Performing Arts & Design,Computer Science",/world-university-rankings/osaka-university
119,Japan,Tohoku University,584,120,120,42.9,278,78.9,47,25.6,338,50.8,55.7,68,57.7,58,"Physics & Astronomy,Education,Electrical & Electronic Engineering,Civil Engineering,Sociology,Law,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Languages, Literature & Linguistics,General Engineering,Accounting & Finance,Biological Sciences,Archaeology,Mathematics & Statistics,Computer Science,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Other Health,Psychology,Chemistry,Architecture,Mechanical & Aerospace Engineering,Business & Management,Chemical Engineering,Economics & Econometrics,Medicine & Dentistry",/world-university-rankings/tohoku-university
120,Israel,Hebrew University of Jerusalem,585,121,121,48.4,245,25.0,360,53.0,183,50.4,56.4,66,47.7,95,"Chemistry,Other Health,General Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Psychology,Geography,Physics & Astronomy,Computer Science,Law,Business & Management,Mathematics & Statistics,Economics & Econometrics,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Art, Performing Arts & Design,Communication & Media Studies,Veterinary Science,Medicine & Dentistry,Electrical & Electronic Engineering",/world-university-rankings/hebrew-university-jerusalem
121,United Kingdom,University of York,586,121,122,71.6,125,33.9,239,72.7,88,50.4,38.8,141,36.7,175,"Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Mathematics & Statistics,Other Health,Economics & Econometrics,Communication & Media Studies,Sociology,Biological Sciences,Computer Science,Medicine & Dentistry,Law,Business & Management,Education,Languages, Literature & Linguistics,History, Philosophy & Theology,Chemistry,Archaeology,Psychology,Electrical & Electronic Engineering",/world-university-rankings/university-york
122,United States,Indiana University,587,123,123,73.7,111,-,380,37.7,260,50.2,34.5,172,46.8,103,"Sport Science,History, Philosophy & Theology,Geography,Communication & Media Studies,Biological Sciences,Psychology,Computer Science,Other Health,Economics & Econometrics,Politics & International Studies (incl Development Studies),Law,Sociology,Business & Management,Art, Performing Arts & Design,Languages, Literature & Linguistics,Education,Chemistry,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Physics & Astronomy",/world-university-rankings/indiana-university
123,South Korea,Seoul National University,588,124,124,44.0,268,42.6,143,16.3,393,50.1,50.8,85,64.6,42,"Accounting & Finance,Architecture,Mathematics & Statistics,History, Philosophy & Theology,Chemical Engineering,Sociology,Electrical & Electronic Engineering,Economics & Econometrics,Geography,Art, Performing Arts & Design,Law,General Engineering,Other Health,Veterinary Science,Civil Engineering,Languages, Literature & Linguistics,Agriculture & Forestry,Education,Psychology,Communication & Media Studies,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Politics & International Studies (incl Development Studies),Physics & Astronomy,Biological Sciences,Archaeology,Computer Science,Medicine & Dentistry,Chemistry",/world-university-rankings/seoul-national-university
124,Denmark,Aarhus University,589,125,125,64.0,155,67.0,66,69.3,106,50.0,49.0,91,30.7,223,"General Engineering,Archaeology,Electrical & Electronic Engineering,Economics & Econometrics,Accounting & Finance,Languages, Literature & Linguistics,Chemistry,History, Philosophy & Theology,Mathematics & Statistics,Communication & Media Studies,Agriculture & Forestry,Education,Chemical Engineering,Art, Performing Arts & Design,Computer Science,Psychology,Mechanical & Aerospace Engineering,Business & Management,Veterinary Science,Other Health,Politics & International Studies (incl Development Studies),Sport Science,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Law,Geography,Medicine & Dentistry,Civil Engineering",/world-university-rankings/aarhus-university
125,United States,University of Florida,590,125,126,50.9,230,-,391,25.9,337,50.0,59.9,57,46.7,105,"Archaeology,Mechanical & Aerospace Engineering,Economics & Econometrics,Medicine & Dentistry,Electrical & Electronic Engineering,Chemistry,Biological Sciences,Agriculture & Forestry,General Engineering,Accounting & Finance,Other Health,Politics & International Studies (incl Development Studies),Communication & Media Studies,Computer Science,Sociology,Psychology,Architecture,Geology, Environmental, Earth & Marine Sciences,Sport Science,Veterinary Science,Physics & Astronomy,Mathematics & Statistics,Law,Chemical Engineering,Art, Performing Arts & Design,Education,Languages, Literature & Linguistics,Business & Management,History, Philosophy & Theology,Geography,Civil Engineering",/world-university-rankings/university-florida
126,United States,Arizona State University,591,127,127,80.3,88,28.7,310,26.1,334,49.9,39.0,137,38.2,161,"Archaeology,Agriculture & Forestry,Languages, Literature & Linguistics,Computer Science,Sociology,Electrical & Electronic Engineering,Mathematics & Statistics,Communication & Media Studies,Architecture,Accounting & Finance,Mechanical & Aerospace Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Geography,Economics & Econometrics,History, Philosophy & Theology,Chemical Engineering,Law,Chemistry,Civil Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Other Health,Sport Science,Physics & Astronomy,Education,Business & Management,Psychology,General Engineering",/world-university-rankings/arizona-state-university
127,United Kingdom,Queen Mary University of London,131678,127,128,83.7,76,36.6,202,88.8,25,49.9,28.6,217,29.0,241,"Communication & Media Studies,Business & Management,Law,Politics & International Studies (incl Development Studies),Chemical Engineering,Languages, Literature & Linguistics,Art, Performing Arts & Design,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Accounting & Finance,Psychology,Other Health,Biological Sciences,Medicine & Dentistry,Physics & Astronomy,Chemistry,Mathematics & Statistics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Geography,Computer Science,History, Philosophy & Theology",/world-university-rankings/queen-mary-university-london
128,United Kingdom,University of Southampton,593,127,129,72.5,120,39.3,179,78.3,66,49.9,35.5,164,35.6,185,"Psychology,Geography,Physics & Astronomy,Chemistry,Other Health,General Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Economics & Econometrics,Civil Engineering,Computer Science,Politics & International Studies (incl Development Studies),Law,Sociology,Business & Management,Languages, Literature & Linguistics,History, Philosophy & Theology,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Accounting & Finance,Archaeology,Education,Electrical & Electronic Engineering,Medicine & Dentistry",/world-university-rankings/university-southampton
129,Switzerland,University of Geneva,594,130,130,65.1,153,32.7,255,97.5,3,49.8,39.0,138,34.9,189,"Languages, Literature & Linguistics,Law,Archaeology,Education,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Chemistry,Biological Sciences,Psychology,Computer Science,Economics & Econometrics,Sociology,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Business & Management,Medicine & Dentistry,Geography,Physics & Astronomy,Mathematics & Statistics,Other Health",/world-university-rankings/university-geneva
130,United Kingdom,Lancaster University,595,131,131,75.4,105,27.5,328,78.6,65,49.7,35.7,162,32.6,207,"Computer Science,Medicine & Dentistry,Mathematics & Statistics,Art, Performing Arts & Design,Geography,Communication & Media Studies,Psychology,Accounting & Finance,Education,Languages, Literature & Linguistics,Law,History, Philosophy & Theology,Sociology,Politics & International Studies (incl Development Studies),Chemical Engineering,Electrical & Electronic Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Business & Management,Mechanical & Aerospace Engineering,Physics & Astronomy,Economics & Econometrics,Chemistry,General Engineering",/world-university-rankings/lancaster-university
131,Sweden,Stockholm University,596,131,132,90.2,49,26.8,338,48.8,206,49.7,36.0,159,25.0,292,"Politics & International Studies (incl Development Studies),Accounting & Finance,Psychology,Art, Performing Arts & Design,Economics & Econometrics,Education,Mechanical & Aerospace Engineering,Archaeology,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Languages, Literature & Linguistics,Communication & Media Studies,Business & Management,Law,Computer Science,Geography,Sociology,Chemistry,Mathematics & Statistics,Biological Sciences",/world-university-rankings/stockholm-university
132,United Kingdom,University of Leeds,597,133,133,57.1,191,36.4,205,64.8,131,49.5,43.9,111,44.6,114,"Agriculture & Forestry,Sport Science,Architecture,Physics & Astronomy,Other Health,Chemistry,General Engineering,Biological Sciences,Psychology,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Medicine & Dentistry,Mathematics & Statistics,Computer Science,Geography,Sociology,Civil Engineering,Economics & Econometrics,Law,Politics & International Studies (incl Development Studies),Business & Management,Education,Electrical & Electronic Engineering,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Languages, Literature & Linguistics,Chemical Engineering,Communication & Media Studies",/world-university-rankings/university-leeds
133,Netherlands,University of Groningen,598,134,134,62.4,164,59.9,88,47.3,215,49.2,52.4,79,32.4,210,"Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Sport Science,Sociology,Accounting & Finance,General Engineering,Geography,Computer Science,Psychology,Chemistry,Biological Sciences,Mathematics & Statistics,Law,Economics & Econometrics,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Business & Management,History, Philosophy & Theology,Art, Performing Arts & Design,Education,Communication & Media Studies,Chemical Engineering,Medicine & Dentistry,Archaeology",/world-university-rankings/university-groningen
134,Denmark,University of Copenhagen,599,135,135,72.1,122,37.0,197,74.8,81,49.0,31.6,193,37.8,162,"Law,Computer Science,Art, Performing Arts & Design,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Psychology,Archaeology,Physics & Astronomy,Veterinary Science,History, Philosophy & Theology,Agriculture & Forestry,Medicine & Dentistry,Sport Science,Communication & Media Studies,Education,Other Health,Languages, Literature & Linguistics,Chemistry,Geography,Architecture,Economics & Econometrics,Politics & International Studies (incl Development Studies),Sociology",/world-university-rankings/university-copenhagen
135,United States,George Washington University,600,135,136,73.2,116,-,377,38.3,254,49.0,33.6,179,44.2,119,"Chemical Engineering,Education,Other Health,Medicine & Dentistry,Electrical & Electronic Engineering,Archaeology,General Engineering,Law,Geography,Sport Science,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Business & Management,Languages, Literature & Linguistics,Civil Engineering,Biological Sciences,Chemistry,Accounting & Finance,Communication & Media Studies,Mathematics & Statistics,Computer Science,Physics & Astronomy,Economics & Econometrics,Sociology,Politics & International Studies (incl Development Studies),Psychology",/world-university-rankings/george-washington-university
136,United States,University of Virginia,601,135,137,74.7,110,34.7,230,26.4,331,49.0,42.2,118,37.0,171,"Biological Sciences,Electrical & Electronic Engineering,Mathematics & Statistics,Chemistry,Computer Science,Civil Engineering,Psychology,General Engineering,Other Health,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Education,Medicine & Dentistry,Law,Business & Management,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Architecture,Sport Science,Art, Performing Arts & Design,Sociology,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Economics & Econometrics,Accounting & Finance,Chemical Engineering",/world-university-rankings/university-virginia
